root_id,upstream_set_2_2Ns,set_2_syn_count,const,input_synapses,pct_set_2_input,avg_upstream_synapses,neuron_type,#_projection_synapses
720575940611351193,1,95,1,95,100.0,95.0,local,0
720575940611352538,1,20,1,20,100.0,20.0,projection,160
720575940611374554,12,547,1,547,100.0,45.583333333333336,projection,215
720575940611379569,3,96,1,96,100.0,32.0,projection,4625
720575940611388595,1,23,1,23,100.0,23.0,local,0
720575940611423402,1,30,1,30,100.0,30.0,projection,178
720575940611442296,4,151,1,151,100.0,37.75,local,0
720575940611448243,2,21,1,21,100.0,10.5,projection,367
720575940611451598,1,30,1,30,100.0,30.0,projection,93
720575940611456661,1,18,1,18,100.0,18.0,projection,831
720575940611469518,2,35,1,35,100.0,17.5,projection,205
720575940611490778,4,146,1,146,100.0,36.5,projection,630
720575940611496165,8,411,1,411,100.0,51.375,projection,104
720575940611498389,1,36,1,36,100.0,36.0,projection,155
720575940611531986,1,20,1,20,100.0,20.0,local,0
720575940611546794,1,30,1,30,100.0,30.0,projection,114
720575940611548273,1,45,1,45,100.0,45.0,projection,405
720575940611548878,6,172,1,172,100.0,28.666666666666668,local,0
720575940611549902,17,747,1,747,100.0,43.94117647058823,local,0
720575940611585459,2,15,1,15,100.0,7.5,projection,170
720575940611596467,1,10,1,10,100.0,10.0,local,0
720575940611608037,1,28,1,28,100.0,28.0,projection,521
720575940611630194,1,20,1,20,100.0,20.0,local,0
720575940611646962,1,45,1,45,100.0,45.0,projection,219
720575940611672785,1,18,1,18,100.0,18.0,projection,87
720575940611678181,1,84,1,84,100.0,84.0,local,0
720575940611682533,2,58,1,58,100.0,29.0,projection,150
720575940611697066,1,13,1,13,100.0,13.0,projection,6
720575940611717357,1,77,1,77,100.0,77.0,local,0
720575940611738035,1,20,1,20,100.0,20.0,projection,2816
720575940611755157,2,230,1,230,100.0,115.0,projection,1582
720575940611767189,1,39,1,39,100.0,39.0,projection,408
720575940611771029,1,20,1,20,100.0,20.0,projection,31
720575940611772083,2,48,1,48,100.0,24.0,local,0
720575940611775717,2,257,1,257,100.0,128.5,projection,52
720575940611782874,4,83,1,83,100.0,20.75,projection,60
720575940611799445,2,62,1,62,100.0,31.0,projection,330
720575940611812050,24,1580,1,1580,100.0,65.83333333333333,projection,934
720575940611813842,2,14,1,14,100.0,7.0,projection,7
720575940611817779,1,15,1,15,100.0,15.0,local,0
720575940611849178,4,1686,1,1686,100.0,421.5,local,0
720575940611849826,2,49,1,49,100.0,24.5,local,0
720575940611858906,11,709,1,709,100.0,64.45454545454545,local,0
720575940611859057,2,41,1,41,100.0,20.5,projection,181
720575940611868825,5,241,1,241,100.0,48.2,local,0
720575940611871352,2,85,1,85,100.0,42.5,projection,171
720575940611875570,3,122,1,122,100.0,40.666666666666664,local,0
720575940611933138,2,70,1,70,100.0,35.0,projection,176
720575940611952810,4,77,1,77,100.0,19.25,projection,53
720575940611958994,3,29,1,29,100.0,9.666666666666666,projection,49
720575940611975594,1,10,1,10,100.0,10.0,projection,158
720575940611988197,15,1037,1,1037,100.0,69.13333333333334,local,0
720575940611991830,4,638,1,638,100.0,159.5,projection,93
720575940612003441,2,25,1,25,100.0,12.5,projection,1438
720575940612019569,6,664,1,664,100.0,110.66666666666667,local,0
720575940612030899,2,50,1,50,100.0,25.0,projection,630
720575940612031986,1,43,1,43,100.0,43.0,projection,496
720575940612036837,1,19,1,19,100.0,19.0,local,0
720575940612044750,1,15,1,15,100.0,15.0,projection,389
720575940612079845,3,57,1,57,100.0,19.0,projection,17
720575940612087922,3,210,1,210,100.0,70.0,projection,104
720575940612097522,1,12,1,12,100.0,12.0,projection,516
720575940612120794,7,186,1,186,100.0,26.571428571428573,projection,111
720575940612127706,2,87,1,87,100.0,43.5,projection,455
720575940612154482,1,33,1,33,100.0,33.0,projection,86
720575940612159411,1,25,1,25,100.0,25.0,projection,430
720575940612208858,15,727,1,727,100.0,48.46666666666667,local,0
720575940612235747,10,328,1,328,100.0,32.8,local,0
720575940612256938,2,311,1,311,100.0,155.5,local,0
720575940612261603,10,697,1,697,100.0,69.7,local,0
720575940612266213,1,8,1,8,100.0,8.0,projection,34
720575940612267470,1,10,1,10,100.0,10.0,projection,73
720575940612270307,2,19,1,19,100.0,9.5,local,0
720575940612277090,19,931,1,931,100.0,49.0,local,0
720575940612278114,1,10,1,10,100.0,10.0,projection,20
720575940612284387,3,88,1,88,100.0,29.333333333333332,local,0
720575940612284569,1,14,1,14,100.0,14.0,projection,7711
720575940612289010,28,1832,1,1832,100.0,65.42857142857143,projection,13
720575940612302506,1,40,1,40,100.0,40.0,projection,54
720575940612303102,2,23,1,23,100.0,11.5,projection,126
720575940612308776,2,67,1,67,100.0,33.5,projection,169
720575940612319155,8,182,1,182,100.0,22.75,projection,198
720575940612337331,2,48,1,48,100.0,24.0,projection,3717
720575940612339123,6,115,1,115,100.0,19.166666666666668,local,0
720575940612341858,6,118,1,118,100.0,19.666666666666668,projection,146
720575940612354034,2,54,1,54,100.0,27.0,local,0
720575940612357618,5,610,1,610,100.0,122.0,local,0
720575940612387434,1,24,1,24,100.0,24.0,local,0
720575940612422579,3,87,1,87,100.0,29.0,local,0
720575940612430821,1,10,1,10,100.0,10.0,projection,148
720575940612438514,4,256,1,256,100.0,64.0,local,0
720575940612443890,2,43,1,43,100.0,21.5,local,0
720575940612446866,4,980,1,980,100.0,245.0,local,0
720575940612464867,1,12,1,12,100.0,12.0,projection,243
720575940612470755,10,263,1,263,100.0,26.3,local,0
720575940612478383,5,55,1,55,100.0,11.0,local,0
720575940612479205,3,260,1,260,100.0,86.66666666666667,projection,5
720575940612490958,7,233,1,233,100.0,33.285714285714285,projection,1761
720575940612498346,1,54,1,54,100.0,54.0,projection,297
720575940612531370,3,196,1,196,100.0,65.33333333333333,projection,737
720575940612549802,1,25,1,25,100.0,25.0,projection,375
720575940612554393,13,464,1,464,100.0,35.69230769230769,local,0
720575940612554979,2,90,1,90,100.0,45.0,projection,240
720575940612556402,4,1519,1,1519,100.0,379.75,local,0
720575940612558061,7,201,1,201,100.0,28.714285714285715,local,0
720575940612564135,2,24,1,24,100.0,12.0,local,0
720575940612572131,5,217,1,217,100.0,43.4,projection,1229
720575940612574435,3,50,1,50,100.0,16.666666666666668,local,0
720575940612582514,2,180,1,180,100.0,90.0,local,0
720575940612584419,1,7,1,7,100.0,7.0,projection,583
720575940612599193,2,99,1,99,100.0,49.5,local,0
720575940612606105,7,216,1,216,100.0,30.857142857142858,local,0
720575940612619431,2,115,1,115,100.0,57.5,projection,24
720575940612628195,1,6,1,6,100.0,6.0,projection,29
720575940612630434,2,173,1,173,100.0,86.5,projection,326
720575940612631445,5,582,1,582,100.0,116.4,projection,29
720575940612648106,1,25,1,25,100.0,25.0,local,0
720575940612670570,4,182,1,182,100.0,45.5,local,0
720575940612686233,5,145,1,145,100.0,29.0,local,0
720575940612708323,1,27,1,27,100.0,27.0,projection,67
720575940612708374,1,66,1,66,100.0,66.0,projection,372
720575940612714723,1,14,1,14,100.0,14.0,projection,1694
720575940612761750,1,5,1,5,100.0,5.0,projection,155
720575940612772915,4,841,1,841,100.0,210.25,local,0
720575940612796438,1,36,1,36,100.0,36.0,projection,206
720575940612815766,1,14,1,14,100.0,14.0,projection,84
720575940612819763,2,66,1,66,100.0,33.0,local,0
720575940612856342,1,27,1,27,100.0,27.0,projection,925
720575940612894578,1,93,1,93,100.0,93.0,projection,283
720575940612906518,11,201,1,201,100.0,18.272727272727273,local,0
