root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses,in_question
720575940605161388,[],GNG.1752,GLUT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_4,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,156,247,
720575940639972816,[],PRW.GNG.32,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_4,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,253,300,
720575940630806267,[],GNG.1201,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_4,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,587,715,
720575940659479937,[],GNG.2235,GLUT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_4,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,70,105,
720575940626520402,[],GNG.2969,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,126,32,
720575940628344074,[],GNG.1087,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,228,1612,
720575940611643033,[],GNG.1040,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,56,2409,
720575940616196539,[],GNG.1025,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,63,2292,
720575940634826135,[],GNG.1236,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,251,1809,
720575940609787256,[],GNG.1277,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,199,2116,
720575940615015976,[],GNG.1311,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,234,692,
720575940625972261,[],GNG.1160,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,235,1064,
720575940623511795,[],GNG.1270,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,212,677,
720575940655071905,[],GNG.1334,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,226,594,
720575940629112887,[],PRW.GNG.59,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,[],right,6,40,
720575940616308921,[],GNG.2577,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN1?,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,47,138,
720575940631069255,[],GNG.2738,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN1?,['3_cycle_participant'; 'feedforward_loop_participant'],right,24,121,
720575940628891774,['labial GRN'],GNG.3433,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN1?,['feedforward_loop_participant'],right,17,51,
720575940611168921,[],GNG.3014,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,35,90,
